,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Track0011,0.00030418765,0.0011808462,-0.0047287047,-4.9747527e-05,-0.0012861341,-0.0037147775,-0.0026589818,0.00045105815,-1.2256205e-05,0.00037674606,0.00071051717,0.0008716583,-0.0024806205,0.0025182292,-0.0022883303,0.00081795454,0.0014847033,-0.0017898772,0.0014747363,-0.001595533,0.0015796758,-0.0017458666,0.0030286498,0.0004889257,-0.00070341956,-0.00046016462,0.00068844133,-0.00037827343,0.0004230067,-0.0018204488,-0.0010783584,0.00016983226,0.0027162023,-0.0007311725,-0.00045974925,-0.0019424967,0.0009130575,-0.0021749395,-0.00144835,-0.001347946,0.0023008287,-0.0014737975,0.00023365021,-0.0014858171,0.00053334795,0.0022326512,-0.0034982488,0.003067091,9.249151e-05,-0.00077655166,-0.00015982613,-0.0011192262,0.0018362924,0.0024900544,-0.00271043,-0.0036650412,0.00053812645,-0.0014093099,-0.0024802126,-0.0041689435,0.002663955,0.00079582655,0.0005438626,0.0007084273
Track0012,0.0018390757,0.0010447986,-0.0017950758,0.0004246561,-0.0015849583,-0.00072038174,0.0023082346,0.0031050295,0.0019586459,0.0018321909,-0.00231193,0.0013586245,-0.00021144748,-0.0013527013,0.0006005876,6.9934875e-05,0.0012327433,0.0010048728,0.0022456832,0.0015138488,-7.657707e-05,-0.0008776523,0.0019151308,-0.0017395169,0.0016295938,0.0016352907,0.00033945614,-0.00025772676,-0.00067614764,0.0014109276,0.00051756273,-0.0007723719,0.0003252402,0.0010174592,0.0008988101,0.00052271783,-0.0013437681,-0.0010704827,-0.00045934226,-0.0002199579,0.0006508529,-0.0004813969,0.0035288185,-7.5250864e-06,-0.0016610948,0.00045456178,0.0006813258,0.0005134735,0.0012646616,0.00038336962,-0.0010800064,-0.0017601363,0.0006618891,-0.0020488568,0.0020433366,0.002119109,0.0004294922,0.0014023613,0.0002133809,0.0004167501,0.0029610544,-0.001487304,0.00019645691,0.0020392202
Track0013,0.0015719489,0.0010308735,-0.0029416159,-0.0008246051,0.0021565743,-0.002590306,0.0037270077,0.0048704334,0.0041978434,0.0039197747,-0.0065933615,0.002966866,-0.00080083497,-0.004949551,-0.00029835477,2.5168061e-05,0.002087826,0.0013365261,0.0022280216,0.0023393668,-0.004285902,0.0009076316,0.003989745,-0.0018222928,-0.0008433433,0.0008071214,-0.0011716584,-0.0013007596,0.003295578,-0.00023000315,0.00029529096,0.001287885,0.00015944988,0.0001723268,0.0025539733,-0.0004272163,-6.595254e-05,-0.0005319901,0.0014766194,0.0009600427,0.002543293,-0.0015290696,0.0044546053,-0.0034649894,-0.0013770536,-0.0013134629,-0.0011414215,-0.0004975684,0.004215069,-0.002509784,-0.004163176,-0.0042152703,1.720339e-05,-0.0034457832,0.0028863568,0.0037239864,-0.0012149458,0.002160648,0.0034443215,0.004314545,0.0036489367,-0.00015079114,-0.005416952,0.0022493266
Track0014,0.00013828836,-0.000623934,-7.972121e-05,0.0022170963,0.00021854043,-0.0017599165,-0.002748873,-9.01334e-05,-0.0015271232,0.0012025051,0.0035316348,-0.00058330223,-0.0024757013,0.002439402,-0.0037612505,0.002598811,0.0007047057,2.7038157e-05,0.0010386109,3.55104e-05,0.00089733675,-0.0009795763,-0.00046322867,-1.4293939e-05,-0.0027927207,0.00050647,0.0005212412,0.0003583245,0.001095824,-0.0026783384,-0.00095319934,-0.00047886744,0.00012205914,-0.0012285714,0.0027332418,-0.00070123374,0.0016090497,6.074598e-05,0.0004246859,-0.0018955949,0.0010066405,-0.00084648654,-0.001875788,-0.002923403,0.00025810767,0.0023703938,-0.0030103028,0.0017110538,-0.0010331497,0.0008630529,0.0023593828,-0.00080393255,0.0035737604,0.0023294429,-0.0042514894,-0.0030115545,-0.001671807,-0.0010909392,-0.00023132749,-0.0019680131,0.0006739199,0.00095045485,-0.00056212395,0.00077323243
Track0015,-0.0002869619,-0.0039501265,0.0015098751,-0.00078451727,-0.0036978833,0.0039162636,0.0015907437,-0.0015802942,-0.0009003952,-0.002384467,-0.001469709,-9.2651695e-05,-6.5717846e-05,-0.002689544,0.0044264086,-0.0031389184,-0.0021841563,-0.0005449988,2.7123839e-05,0.0018448737,-0.00076621026,0.0021365285,-0.0018847957,0.0012746044,0.0010575382,0.0009972584,-0.00050061755,-0.0012777783,-0.004741296,0.001909148,0.0015698259,0.0005021468,-0.0012222417,-0.0011038752,0.00029314123,0.0038410388,-0.0023425408,-0.0025005308,-0.0008557094,0.00035055168,-0.00339628,0.0011715963,-0.001524806,0.0022280999,0.0007982347,-0.003296324,0.0045669302,-0.0014054738,-0.0017897785,0.0031351224,0.00201118,0.0018166527,-0.0019217283,-0.0021440284,0.0025939476,0.002878949,-3.795966e-05,0.00019836612,0.00097450614,0.0026763794,-0.0025966763,8.434942e-05,0.0032923818,-0.0015444756
Track0016,0.0018082592,-0.0011351816,-0.001076214,-0.00032519083,0.0027797632,8.9235604e-05,0.003644459,0.001546856,0.0026594624,0.0005781967,-0.005796723,0.00084036216,-0.0011484586,-0.0026649535,0.002514273,-0.00168854,0.0008234978,0.0020470954,0.0009394046,0.0021212427,-0.002480939,0.0031060558,0.001344014,-0.0005845614,-0.00021016411,0.00028602593,-0.002848816,-0.0009412691,0.00024372339,0.0010793135,0.00048007234,0.0013818555,0.00029199943,0.0019976432,0.0027448162,0.0009303838,-0.000857044,-0.0015413989,0.0029465156,0.002111867,-0.0005258247,0.0013230387,0.0021135733,-0.0012535118,0.0012479341,-0.0021479456,0.0024821833,-0.003466688,-0.0004548654,-0.00012497231,-0.002664987,-0.003465481,-0.0008092243,-0.0045968536,0.0043023154,0.0050047487,0.00035258487,0.002057504,0.0030076597,0.006276829,0.0014650971,-0.0005672923,-0.0032721832,-0.0005573556
Track0017,0.0005124735,-0.0021511726,-0.0006745383,-0.00021596719,0.0006280951,0.0017287508,0.0027007759,0.0011353157,0.0013377368,-0.00030107796,-0.0032465234,0.00059573725,-0.00030628033,-0.0015482157,0.00273652,-0.0026279837,-0.00027391315,0.0015413957,0.001039017,0.0017859761,-0.0019802488,0.0021604039,-0.00022733212,0.00034539402,-0.00055142306,0.0002404917,-0.0009555111,-0.00022983924,-0.0007324144,0.00076760724,0.00064387533,0.0009241663,-0.001509022,0.00012071803,0.00046950765,0.0018343143,-0.00041140988,-0.0010119323,0.0009965356,0.0016142111,-0.0015101358,0.0010154787,0.0012049824,0.00013422593,0.0013430081,-0.0015524486,0.0024493188,-0.0014959387,-0.00091567636,0.0007393323,-0.001495,-0.0017823763,-0.0014786012,-0.003169257,0.0019262694,0.0029739626,-0.0007876874,0.0011389796,0.0027417205,0.0038748006,0.00077275187,-0.00036462303,-0.000791803,-0.00086570904
Track0018,0.0001974788,0.00060372055,-0.003317684,0.0005775131,-0.001452297,-0.0021953508,-0.0015670322,0.00062509626,-0.00014492124,-0.0012540463,0.0010185167,0.0013349205,-0.0007311795,0.0034719594,-0.0023446903,0.00072081015,0.0011395197,-0.0007724948,0.003040526,-0.0020670318,0.0010207258,-0.00019418634,0.0015292615,-0.00027408823,1.9842759e-05,0.0001302287,0.0010324602,-0.0005627386,0.00071742386,-0.001592692,1.3045268e-05,-0.0009955429,0.0009298362,-4.980527e-05,-0.0020366218,-0.00094214454,-0.00049417466,-0.0010788892,-0.0017215861,-0.0013059461,4.0456653e-06,-0.00013570674,0.0008067563,0.0007355884,0.00093492214,0.0032086484,-0.0016048998,0.0025394578,-0.00029550493,-0.0004886277,-0.0015279241,1.9468367e-05,-0.0007162485,0.0034091352,-0.00067052804,-0.002994407,0.0011945593,0.0001391694,-0.0022445414,-0.004169925,0.0027485713,-0.0012739487,0.00027736276,0.0006935261
Track0019,0.001629547,-0.00065368414,0.0009934604,-0.0009621661,0.00029933825,0.0011046156,0.0025753789,-0.0003651753,0.0010494292,-0.00029237382,-0.0048526004,0.00018422306,0.0006917082,-0.0018577352,0.004694052,-0.0017909706,-0.00030570105,0.00093587395,0.00015027821,0.0017879677,-0.0021548755,0.002763776,-0.00031096116,0.0006871298,0.001130159,-0.00044832565,-0.0016408333,-0.00012277439,-0.00035952777,0.0028778017,0.0013474082,0.000710804,-0.0014821105,0.001133719,0.0012316518,0.0012363903,-0.0023211353,-0.0017882641,0.0023021875,0.0025932752,-0.00177297,0.0011626519,0.0005297661,0.0019873641,0.0006875405,-0.0018059947,0.004568681,-0.002819918,-0.00040673465,2.041459e-05,-0.001995895,-0.0025502928,-0.0019532628,-0.0046888553,0.004030451,0.005994972,0.0009880683,0.002978975,0.002026815,0.0045560347,-0.0005903989,-0.00053703156,-0.0017435923,-0.0018315688
Track0020,-0.00064267684,-0.0007596202,-0.002423264,-0.00012937188,-0.0014882572,-0.0006092936,-0.00047062337,0.00086958334,4.5515597e-05,-0.00033763796,0.000101715326,0.0013373494,-0.0016629621,0.00043579936,-0.0005731508,-0.0014993697,0.0006091725,-0.00061930344,0.0010171626,0.0003547473,0.0006432906,-0.00082431175,0.0012666099,-0.00016400963,0.00013890956,8.972362e-05,0.00014652405,6.7759305e-05,-0.0008602217,-0.00052964315,-0.00050300034,0.00096002594,0.0010636263,-0.00038312888,-0.0010041427,0.00041873008,-0.0001306273,-0.0008211108,-0.00096376985,-0.0005145157,-0.00023341179,-0.0005300697,0.0009619519,-2.4240464e-05,0.00019972585,-0.00014827214,-0.0010266304,0.0010578427,-0.0006759986,0.00010013208,-0.00013985857,0.0007511601,-0.0004355833,0.001624142,-0.00055556744,-0.0016525239,-0.0004426,-0.000831346,-0.00059052743,-0.0013768608,0.001490891,-0.000110113295,0.0014029965,0.00026198104
